id	rank	name	parentid	childcount	min	max	mode	median	mean	stddev	sum16slist
2746	genus	Sulfuricella	3442	1	2	2	2	2	2.00	0.00	[2]
2747	genus	Tsukamurella	3499	1	2	2	2	2	2.00	0.00	[2]
2748	genus	Waddlia	3453	1	2	2	2	2	2.00	0.00	[2]
2749	genus	Rahnella	3537	2	7	7	7	7.0	7.00	0.00	[7, 7]
2750	genus	Methanosalsum	3451	1	3	3	3	3	3.00	0.00	[3]
2751	genus	Spirochaeta	3479	6	2	3	2	2.0	2.33	0.47	[2, 2, 3, 3, 2, 2]
2752	genus	Nitrosomonas	3516	1	1	1	1	1	1.00	0.00	[1]
2753	genus	Actinobacillus	3512	4	6	6	6	6.0	6.00	0.00	[6, 6, 6, 6]
2754	genus	Edwardsiella	3537	4	8	8	8	8.0	8.00	0.00	[8, 8, 8, 8]
2755	genus	Cytophaga	3571	1	3	3	3	3	3.00	0.00	[3]
2756	genus	Ralstonia	3562	8	3	4	3	3.0	3.38	0.48	[4, 3, 3, 3, 3, 3, 4, 4]
2757	genus	Tetragenococcus	3569	1	5	5	5	5	5.00	0.00	[5]
2758	genus	Bacteriovorax	3530	1	2	2	2	2	2.00	0.00	[2]
2759	genus	Thermomonospora	3404	1	4	4	4	4	4.00	0.00	[4]
2760	genus	Paenibacillus	3360	14	6	14		12.0	10.86	2.77	[12, 8, 12, 14, 13, 9, 14, 14, 13, 8, 9, 13, 6, 7]
2761	genus	Ensifer	3475	11	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
2762	genus	Coxiella	3321	5	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1]
2763	genus	Gordonibacter	3431	1	1	1	1	1	1.00	0.00	[1]
2764	genus	Caldisericum	3372	1	1	1	1	1	1.00	0.00	[1]
2765	genus	Burkholderia	3562	52	2	7	4	4.5	4.83	1.09	[4, 6, 4, 4, 6, 6, 6, 6, 4, 4, 6, 5, 6, 6, 6, 5, 6, 3, 5, 7, 6, 3, 6, 5, 6, 4, 6, 2, 6, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 5, 6, 6, 4, 4, 4, 4, 4, 4, 6]
2766	genus	Halalkalicoccus	3396	1	1	1	1	1	1.00	0.00	[1]
2767	genus	Chlamydia	3473	74	2	3	2	2.0	2.04	0.20	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
2768	genus	Mesoplasma	3505	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
2769	genus	Desulfarculus	3534	1	1	1	1	1	1.00	0.00	[1]
2770	genus	Stigmatella	3532	1	2	2	2	2	2.00	0.00	[2]
2771	genus	Fervidicoccus	3371	1	1	1	1	1	1.00	0.00	[1]
2772	genus	Thermogymnomonas	3557	2	1	1	1	1.0	1.00	0.00	[1, 1]
2773	genus	Conexibacter	3483	1	1	1	1	1	1.00	0.00	[1]
2774	genus	Dyella	3561	2	2	2	2	2.0	2.00	0.00	[2, 2]
2775	genus	Chromohalobacter	3403	1	5	5	5	5	5.00	0.00	[5]
2776	genus	Photobacterium	3554	1	15	15	15	15	15.00	0.00	[15]
2777	genus	Nakamurella	3324	1	2	2	2	2	2.00	0.00	[2]
2778	genus	Candidatus Solibacter	3743	1	2	2	2	2	2.00	0.00	[2]
2779	genus	Wolinella	3379	1	3	3	3	3	3.00	0.00	[3]
2780	genus	Leptothrix	3469	1	2	2	2	2	2.00	0.00	[2]
2781	genus	Acetobacter	3328	6	5	5	5	5.0	5.00	0.00	[5, 5, 5, 5, 5, 5]
2782	genus	Lysinibacillus	3535	2	10	10	10	10.0	10.00	0.00	[10, 10]
2783	genus	Xenorhabdus	3537	1	7	7	7	7	7.00	0.00	[7]
2784	genus	Desulfomonile	3471	1	1	1	1	1	1.00	0.00	[1]
2785	genus	Dichelobacter	3364	1	3	3	3	3	3.00	0.00	[3]
2786	genus	Tistrella	3568	1	4	4	4	4	4.00	0.00	[4]
2787	genus	Rhodomicrobium	3378	1	2	2	2	2	2.00	0.00	[2]
2788	genus	Kribbella	3539	1	2	2	2	2	2.00	0.00	[2]
2789	genus	Herbaspirillum	3352	1	3	3	3	3	3.00	0.00	[3]
2790	genus	Polynucleobacter	3562	3	1	1	1	1	1.00	0.00	[1, 1, 1]
2791	genus	Fusobacterium	3338	3	5	5	5	5	5.00	0.00	[5, 5, 5]
2792	genus	Halovivax	3570	1	2	2	2	2	2.00	0.00	[2]
2793	genus	Nitrosopumilus	3356	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
2794	genus	Intrasporangium	3489	1	2	2	2	2	2.00	0.00	[2]
2795	genus	Saccharofermentans	3531	1	2	2	2	2	2.00	0.00	[2]
2796	genus	Meiothermus	3526	3	2	2	2	2	2.00	0.00	[2, 2, 2]
2797	genus	Sphingopyxis	3468	1	1	1	1	1	1.00	0.00	[1]
2798	genus	GpI	3502	13	2	5	4	4	3.85	0.77	[4, 4, 4, 4, 5, 3, 4, 5, 3, 4, 4, 2, 4]
2799	genus	Syntrophobotulus	3332	1	4	4	4	4	4.00	0.00	[4]
2800	genus	Pelobacter	3508	1	2	2	2	2	2.00	0.00	[2]
2801	genus	Desulfurobacterium	3484	1	2	2	2	2	2.00	0.00	[2]
2802	genus	Olivibacter	3420	1	4	4	4	4	4.00	0.00	[4]
2803	genus	Oenococcus	3540	1	2	2	2	2	2.00	0.00	[2]
2804	genus	Methanothrix	3478	3	1	2	2	2	1.67	0.47	[2, 2, 1]
2805	genus	Barnesiella	3480	1	5	5	5	5	5.00	0.00	[5]
2806	genus	Janthinobacterium	3352	1	1	1	1	1	1.00	0.00	[1]
2807	genus	Spiroplasma	3409	8	1	2	1	1.0	1.12	0.33	[1, 1, 1, 1, 1, 1, 1, 2]
2808	genus	Methanobrevibacter	3496	3	2	3	2	2	2.33	0.47	[2, 2, 3]
2809	genus	Parachlamydia	3450	1	3	3	3	3	3.00	0.00	[3]
2810	genus	Sphingomonas	3468	3	2	3	2	2	2.33	0.47	[2, 2, 3]
2811	genus	Zobellia	3376	1	2	2	2	2	2.00	0.00	[2]
2812	genus	Streptomyces	3456	20	3	7	6	6.0	5.95	0.74	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 6, 7, 6, 6, 6, 7, 6, 6]
2813	genus	Desulfitobacterium	3332	4	5	6	6	6.0	5.75	0.43	[6, 5, 6, 6]
2814	genus	Pseudoalteromonas	3511	2	8	9		8.5	8.50	0.50	[9, 8]
2815	genus	Dermacoccus	3520	1	3	3	3	3	3.00	0.00	[3]
2816	genus	Methanolobus	3451	1	3	3	3	3	3.00	0.00	[3]
2817	genus	Ethanoligenens	3531	1	3	3	3	3	3.00	0.00	[3]
2818	genus	Leadbetterella	3571	1	3	3	3	3	3.00	0.00	[3]
2819	genus	Thiomonas	3469	2	1	1	1	1.0	1.00	0.00	[1, 1]
2820	genus	Natrinema	3570	1	3	3	3	3	3.00	0.00	[3]
2821	genus	Nitratifractor	3347	1	2	2	2	2	2.00	0.00	[2]
2822	genus	Aerococcus	3556	1	4	4	4	4	4.00	0.00	[4]
2823	genus	Delftia	3449	2	5	5	5	5.0	5.00	0.00	[5, 5]
2824	genus	Beutenbergia	3536	1	2	2	2	2	2.00	0.00	[2]
2825	genus	Pandoraea	3562	3	4	5	4	4	4.33	0.47	[5, 4, 4]
2826	genus	Desulfobacula	3474	1	4	4	4	4	4.00	0.00	[4]
2827	genus	Teredinibacter	3327	1	3	3	3	3	3.00	0.00	[3]
2828	genus	Enterococcus	3569	13	1	6	6	5	4.77	1.42	[4, 6, 4, 4, 6, 6, 4, 4, 6, 1, 5, 6, 6]
2829	genus	Clostridium XlVa	3444	2	6	8		7.0	7.00	1.00	[8, 6]
2830	genus	Neisseria	3510	18	4	4	4	4.0	4.00	0.00	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
2831	genus	Acidianus	3441	1	1	1	1	1	1.00	0.00	[1]
2832	genus	Isosphaera	3488	1	3	3	3	3	3.00	0.00	[3]
2833	genus	Chromobacterium	3510	1	8	8	8	8	8.00	0.00	[8]
2834	genus	Azospira	3426	1	2	2	2	2	2.00	0.00	[2]
2835	genus	Polaromonas	3449	2	1	2		1.5	1.50	0.50	[1, 2]
2836	genus	Yersinia	3537	28	6	7	7	7.0	6.82	0.38	[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
2837	genus	Pectobacterium	3537	5	7	7	7	7	7.00	0.00	[7, 7, 7, 7, 7]
2838	genus	Desulfomicrobium	3380	1	2	2	2	2	2.00	0.00	[2]
2839	genus	Gordonia	3564	3	2	3	3	3	2.67	0.47	[2, 3, 3]
2840	genus	Leptospirillum	3375	2	2	3		2.5	2.50	0.50	[3, 2]
2841	genus	Phenylobacterium	3524	1	1	1	1	1	1.00	0.00	[1]
2842	genus	Herminiimonas	3352	2	2	2	2	2.0	2.00	0.00	[2, 2]
2843	genus	Sulfurovum	3379	1	3	3	3	3	3.00	0.00	[3]
2844	genus	Singulisphaera	3488	1	8	8	8	8	8.00	0.00	[8]
2845	genus	GpX	3415	2	2	2	2	2.0	2.00	0.00	[2, 2]
2846	genus	Echinicola	3383	1	4	4	4	4	4.00	0.00	[4]
2847	genus	Myroides	3376	1	8	8	8	8	8.00	0.00	[8]
2848	genus	Syntrophomonas	3350	1	3	3	3	3	3.00	0.00	[3]
2849	genus	Nautilia	3347	1	4	4	4	4	4.00	0.00	[4]
2850	genus	Methanomassiliicoccus	3553	3	1	1	1	1	1.00	0.00	[1, 1, 1]
2851	genus	Renibacterium	3385	1	2	2	2	2	2.00	0.00	[2]
2852	genus	Ilumatobacter	3393	1	2	2	2	2	2.00	0.00	[2]
2853	genus	Alicycliphilus	3449	2	3	3	3	3.0	3.00	0.00	[3, 3]
2854	genus	Thermoanaerobacter	3359	7	4	4	4	4	4.00	0.00	[4, 4, 4, 4, 4, 4, 4]
2855	genus	Neorickettsia	3470	3	1	1	1	1	1.00	0.00	[1, 1, 1]
2856	genus	Lacinutrix	3376	1	2	2	2	2	2.00	0.00	[2]
2857	genus	Pseudonocardia	3429	1	3	3	3	3	3.00	0.00	[3]
2858	genus	Diapherotrites Incertae Sedis AR10	3783	1	1	1	1	1	1.00	0.00	[1]
2859	genus	Gluconacetobacter	3328	3	4	5	4	4	4.33	0.47	[4, 4, 5]
2860	genus	Streptococcus	3368	115	1	7	4	4	4.78	1.09	[6, 4, 4, 6, 6, 7, 5, 7, 5, 6, 6, 6, 6, 7, 4, 6, 4, 6, 4, 4, 4, 4, 4, 4, 5, 6, 4, 5, 5, 4, 4, 4, 4, 6, 5, 4, 4, 4, 6, 4, 5, 4, 4, 4, 7, 4, 4, 5, 5, 4, 6, 1, 6, 6, 5, 5, 5, 5, 6, 4, 4, 4, 4, 4, 4, 6, 5, 4, 4, 4, 5, 4, 6, 6, 4, 5, 4, 4, 5, 4, 4, 7, 5, 5, 4, 6, 7, 5, 5, 4, 4, 4, 4, 4, 4, 6, 4, 4, 7, 7, 7, 6, 6, 4, 4, 4, 4, 4, 4, 4, 5, 2, 4, 4, 4]
2861	genus	Pediococcus	3459	3	4	5	5	5	4.67	0.47	[5, 4, 5]
2862	genus	Aquifex	3433	1	2	2	2	2	2.00	0.00	[2]
2863	genus	Klebsiella	3537	15	7	8	8	8	7.93	0.25	[8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8]
2864	genus	Cellulophaga	3376	4	4	5	4	4.0	4.25	0.43	[5, 4, 4, 4]
2865	genus	Aeropyrum	3457	2	1	1	1	1.0	1.00	0.00	[1, 1]
2866	genus	Thermodesulfovibrio	3375	1	1	1	1	1	1.00	0.00	[1]
2867	genus	Anaplasma	3470	16	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2868	genus	Gramella	3376	1	3	3	3	3	3.00	0.00	[3]
2869	genus	Anaerolinea	3419	1	2	2	2	2	2.00	0.00	[2]
2870	genus	Polaribacter	3376	1	2	2	2	2	2.00	0.00	[2]
2871	genus	Desulfovibrio	3476	14	1	5	5	3.5	3.57	1.29	[5, 4, 5, 4, 3, 3, 5, 2, 3, 2, 5, 5, 3, 1]
2872	genus	Acidimicrobium	3393	1	2	2	2	2	2.00	0.00	[2]
2873	genus	Candidatus Pelagibacter	3389	3	1	1	1	1	1.00	0.00	[1, 1, 1]
2874	genus	Thioalkalivibrio	3446	3	1	1	1	1	1.00	0.00	[1, 1, 1]
2875	genus	Raoultella	3537	1	8	8	8	8	8.00	0.00	[8]
2876	genus	Coprothermobacter	3491	1	2	2	2	2	2.00	0.00	[2]
2877	genus	Isoptericola	3574	1	3	3	3	3	3.00	0.00	[3]
2878	genus	Brevibacillus	3360	1	15	15	15	15	15.00	0.00	[15]
2879	genus	Weeksella	3376	1	5	5	5	5	5.00	0.00	[5]
2880	genus	Winogradskyella	3376	1	2	2	2	2	2.00	0.00	[2]
2881	genus	Sodalis	3537	3	1	7	7	7	5.00	2.83	[7, 1, 7]
2882	genus	Carboxydothermus	3359	1	4	4	4	4	4.00	0.00	[4]
2883	genus	Corynebacterium	3354	66	3	7	4	4.0	4.48	0.89	[6, 5, 5, 6, 3, 6, 3, 3, 4, 3, 4, 6, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 7, 6, 6, 5, 4, 6, 4, 3, 4, 5, 4, 4, 4, 5, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4]
2884	genus	Haemophilus	3512	13	5	6	6	6	5.92	0.27	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6]
2885	genus	Methanoculleus	3458	2	1	1	1	1.0	1.00	0.00	[1, 1]
2886	genus	Flexistipes	3357	1	2	2	2	2	2.00	0.00	[2]
2887	genus	Pyrococcus	3394	7	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1]
2888	genus	Lachnospiracea_incertae_sedis	3444	3	4	5	5	5	4.67	0.47	[5, 5, 4]
2889	genus	Treponema	3479	20	2	4	2	2.0	2.25	0.62	[2, 2, 2, 4, 4, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
2890	genus	Methanohalophilus	3451	1	3	3	3	3	3.00	0.00	[3]
2891	genus	Magnetococcus	3498	1	3	3	3	3	3.00	0.00	[3]
2892	genus	Coraliomargarita	3529	1	2	2	2	2	2.00	0.00	[2]
2893	genus	Rhodospirillum	3568	3	1	4	4	4	3.00	1.41	[4, 1, 4]
2894	genus	Methanothermus	3541	1	2	2	2	2	2.00	0.00	[2]
2895	genus	Magnetospirillum	3568	1	2	2	2	2	2.00	0.00	[2]
2896	genus	Weissella	3540	4	5	6	6	6.0	5.75	0.43	[5, 6, 6, 6]
2897	genus	GpVI	3546	2	2	2	2	2.0	2.00	0.00	[2, 2]
2898	genus	Brachyspira	3413	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
2899	genus	Kocuria	3385	1	3	3	3	3	3.00	0.00	[3]
2900	genus	Variovorax	3449	3	2	2	2	2	2.00	0.00	[2, 2, 2]
2901	genus	Runella	3571	1	2	2	2	2	2.00	0.00	[2]
2902	genus	Propionibacterium	3567	11	2	4	3	3	3.00	0.43	[3, 3, 3, 3, 3, 3, 2, 3, 4, 3, 3]
2903	genus	Staphylococcus	3461	51	4	6	5	5	5.24	0.47	[5, 5, 6, 5, 5, 6, 6, 6, 5, 6, 5, 5, 5, 6, 6, 5, 5, 5, 5, 5, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 6, 5, 5, 4, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5]
2904	genus	Hirschia	3381	1	2	2	2	2	2.00	0.00	[2]
2905	genus	Maricaulis	3381	1	2	2	2	2	2.00	0.00	[2]
2906	genus	Cellulomonas	3452	3	2	2	2	2	2.00	0.00	[2, 2, 2]
2907	genus	Denitrovibrio	3357	1	2	2	2	2	2.00	0.00	[2]
2908	genus	Megasphaera	3448	1	7	7	7	7	7.00	0.00	[7]
2909	genus	Spirosoma	3571	1	4	4	4	4	4.00	0.00	[4]
2910	genus	Thermohydrogenium	3350	2	5	5	5	5.0	5.00	0.00	[5, 5]
2911	genus	Bacillus	3427	83	1	15	10	11	10.65	2.51	[10, 8, 13, 11, 12, 11, 11, 7, 13, 7, 7, 14, 13, 7, 14, 14, 14, 12, 13, 13, 14, 11, 11, 7, 12, 11, 14, 11, 8, 10, 7, 10, 10, 14, 10, 12, 6, 7, 7, 10, 13, 14, 11, 10, 10, 10, 15, 14, 13, 10, 12, 14, 9, 12, 10, 13, 10, 9, 10, 12, 7, 10, 10, 9, 9, 12, 10, 11, 11, 8, 10, 8, 7, 9, 14, 10, 13, 10, 10, 14, 11, 1, 13]
2912	genus	Methylomonas	3482	1	3	3	3	3	3.00	0.00	[3]
2913	genus	Terriglobus	3753	2	1	2		1.5	1.50	0.50	[1, 2]
2914	genus	Thermoplasma	3373	2	1	1	1	1.0	1.00	0.00	[1, 1]
2915	genus	Desulfocapsa	3438	1	3	3	3	3	3.00	0.00	[3]
2916	genus	Dehalococcoides	3551	8	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1]
2917	genus	Erythrobacter	3388	1	1	1	1	1	1.00	0.00	[1]
2918	genus	Thermosipho	3422	1	3	3	3	3	3.00	0.00	[3]
2919	genus	Desulfotomaculum	3349	6	3	10	8	8.0	7.00	2.31	[8, 10, 8, 3, 5, 8]
2920	genus	Pelagibacterium	3378	1	2	2	2	2	2.00	0.00	[2]
2921	genus	Veillonella	3448	1	4	4	4	4	4.00	0.00	[4]
2922	genus	Ignicoccus	3457	1	1	1	1	1	1.00	0.00	[1]
2923	genus	Capnocytophaga	3376	2	3	4		3.5	3.50	0.50	[4, 3]
2924	genus	Fibrella	3571	1	3	3	3	3	3.00	0.00	[3]
2925	genus	Cycloclasticus	3509	2	1	1	1	1.0	1.00	0.00	[1, 1]
2926	genus	Vibrio	3554	22	6	12	8	8.0	8.68	1.74	[8, 9, 11, 9, 8, 8, 7, 7, 11, 9, 7, 7, 9, 8, 8, 11, 11, 12, 6, 11, 8, 6]
2927	genus	Azospirillum	3568	2	9	9	9	9.0	9.00	0.00	[9, 9]
2928	genus	Frateuria	3561	1	4	4	4	4	4.00	0.00	[4]
2929	genus	Tropheryma	3452	2	1	1	1	1.0	1.00	0.00	[1, 1]
2930	genus	Oscillibacter	3531	1	3	3	3	3	3.00	0.00	[3]
2931	genus	GpXII	3366	1	2	2	2	2	2.00	0.00	[2]
2932	genus	Pseudoxanthomonas	3561	2	1	2		1.5	1.50	0.50	[2, 1]
2933	genus	Desulfatibacillum	3474	1	2	2	2	2	2.00	0.00	[2]
2934	genus	Paludibacter	3480	1	3	3	3	3	3.00	0.00	[3]
2935	genus	Saccharopolyspora	3429	1	4	4	4	4	4.00	0.00	[4]
2936	genus	Methylobacillus	3467	1	2	2	2	2	2.00	0.00	[2]
2937	genus	Corallococcus	3436	1	3	3	3	3	3.00	0.00	[3]
2938	genus	Methanococcoides	3451	1	3	3	3	3	3.00	0.00	[3]
2939	genus	Bradyrhizobium	3440	6	1	2	2	2.0	1.67	0.47	[1, 2, 2, 1, 2, 2]
2940	genus	Draconibacterium	3435	1	2	2	2	2	2.00	0.00	[2]
2941	genus	Thermobacillus	3360	1	5	5	5	5	5.00	0.00	[5]
2942	genus	Dyadobacter	3571	1	4	4	4	4	4.00	0.00	[4]
2943	genus	Croceibacter	3376	1	2	2	2	2	2.00	0.00	[2]
2944	genus	Thermomicrobium	3486	1	1	1	1	1	1.00	0.00	[1]
2945	genus	Desulfobulbus	3438	1	2	2	2	2	2.00	0.00	[2]
2946	genus	Thermoproteus	3497	2	1	1	1	1.0	1.00	0.00	[1, 1]
2947	genus	Pasteurella	3512	5	6	6	6	6	6.00	0.00	[6, 6, 6, 6, 6]
2948	genus	Emticicia	3571	1	2	2	2	2	2.00	0.00	[2]
2949	genus	Robiginitalea	3376	1	2	2	2	2	2.00	0.00	[2]
2950	genus	Advenella	3439	2	2	2	2	2.0	2.00	0.00	[2, 2]
2951	genus	Thauera	3426	1	4	4	4	4	4.00	0.00	[4]
2952	genus	Methylotenera	3467	2	2	3		2.5	2.50	0.50	[2, 3]
2953	genus	Natronobacterium	3570	1	3	3	3	3	3.00	0.00	[3]
2954	genus	Xanthomonas	3561	15	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
2955	genus	Alcanivorax	3528	2	2	3		2.5	2.50	0.50	[3, 2]
2956	genus	Deferribacter	3357	1	2	2	2	2	2.00	0.00	[2]
2957	genus	Dehalobacter	3332	3	3	4	3	3	3.33	0.47	[3, 3, 4]
2958	genus	Anaerostipes	3444	1	1	1	1	1	1.00	0.00	[1]
2959	genus	Nitrobacter	3440	2	1	1	1	1.0	1.00	0.00	[1, 1]
2960	genus	Desulfobacterium	3474	1	6	6	6	6	6.00	0.00	[6]
2961	genus	Methanococcus	3348	7	2	4	3	3	2.86	0.64	[3, 3, 2, 3, 4, 3, 2]
